date,temperature,humidity,rainfall
2023-04-07,8.5,85.4,0.0
2023-04-08,9.53,83.24,0.0
2023-04-09,10.58,86.62,0.0
2023-04-10,9.68,94.31,0.0
2023-04-11,10.61,83.79,0.0
2023-04-12,11.51,86.22,3.2
2023-04-13,13.86,80.63,9.8
2023-04-14,11.82,93.09,0.2
2023-04-15,12.1,86.61,45.6
2023-04-16,10.71,96.91,2.8
2023-04-17,11.57,95.51,0.0
2023-04-18,11.72,90.18,0.0
2023-04-19,12.19,93.85,1.4
2023-04-20,13.7,89.77,0.0
2023-04-21,14.14,86.28,0.0
2023-04-22,12.85,86.21,0.0
2023-04-23,13.56,81.47,1.6
2023-04-24,14.34,82.04,1.0
2023-04-25,15.42,87.78,1.8
2023-04-26,14.55,87.0,2.6
2023-04-27,12.81,76.19,0.0
2023-04-28,12.86,77.46,0.0
2023-04-29,13.79,83.1,2.8
2023-04-30,14.73,87.53,0.8
2023-05-01,14.65,95.33,1.4
2023-05-02,13.45,96.88,11.0
2023-05-03,14.12,96.13,0.0
2023-05-04,13.16,99.94,0.0
2023-05-05,15.98,87.3,0.2
2023-05-06,16.76,82.88,0.0
2023-05-07,18.19,80.91,0.0
2023-05-08,16.41,86.98,0.0
2023-05-09,17.82,89.35,3.2
2023-05-10,15.89,92.19,0.0
2023-05-11,15.28,88.9,3.0
2023-05-12,16.37,89.52,0.0
2023-05-13,15.11,92.17,0.0
2023-05-14,18.18,92.19,0.2
2023-05-15,20.96,79.83,0.4
2023-05-16,17.36,92.51,0.0
2023-05-17,14.97,93.3,0.4
2023-05-18,16.57,91.53,1.2
2023-05-19,18.01,85.81,0.4
2023-05-20,17.88,83.84,9.6
2023-05-21,18.23,86.07,1.4
2023-05-22,17.75,80.84,0.2
2023-05-23,17.16,84.95,1.2
2023-05-24,17.5,87.18,7.6
2023-05-25,18.73,85.25,2.2
2023-05-26,18.34,86.12,0.4
2023-05-27,17.5,89.7,1.4
2023-05-28,18.56,86.02,0.0
2023-05-29,18.89,85.98,0.0
2023-05-30,18.77,87.81,0.0
2023-05-31,17.7,90.66,0.0
2023-06-01,20.12,82.11,0.0
2023-06-02,19.54,79.9,3.6
2023-06-03,18.36,90.71,0.2
2023-06-04,20.0,81.99,0.2
2023-06-05,21.44,79.47,0.0
2023-06-06,21.71,76.99,0.2
2023-06-07,21.24,77.0,0.0
2023-06-08,22.44,79.32,0.0
2023-06-09,21.72,86.82,0.6
2023-06-10,21.05,91.23,1.0
2023-06-11,21.98,89.09,0.0
2023-06-12,20.31,90.1,0.0
2023-06-13,21.05,86.37,1.0
2023-06-14,21.95,85.58,0.0
2023-06-15,19.51,96.2,0.0
2023-06-16,19.82,93.07,0.0
2023-06-17,19.38,95.99,0.0
2023-06-18,20.48,87.18,0.0
2023-06-19,21.02,83.56,0.0
2023-06-20,22.32,84.08,0.0
2023-06-21,23.52,82.27,0.0
2023-06-22,24.87,82.23,0.0
2023-06-23,25.22,82.82,0.2
2023-06-24,25.45,83.52,0.4
2023-06-25,23.0,88.59,0.0
2023-06-26,23.43,85.97,0.0
2023-06-27,24.69,81.38,0.0
2023-06-28,23.46,87.25,0.0
2023-06-29,23.36,86.45,0.0
2023-06-30,23.7,82.92,0.0
2023-07-01,23.55,82.2,0.0
2023-07-02,23.61,86.14,0.0
2023-07-03,24.35,85.6,0.0
2023-07-04,25.56,84.28,0.0
2023-07-05,25.11,84.82,0.0
2023-07-06,24.9,82.68,0.0
2023-07-07,25.59,82.61,0.0
2023-07-08,24.04,79.82,0.0
2023-07-09,24.48,77.2,0.0
2023-07-10,24.34,76.02,0.0
2023-07-11,24.51,74.16,0.0
2023-07-12,24.29,79.39,0.0
2023-07-13,24.78,80.72,0.0
2023-07-14,25.06,81.36,0.0
2023-07-15,25.9,80.59,0.2
2023-07-16,27.91,77.45,0.0
2023-07-17,28.7,75.51,0.4
2023-07-18,28.13,78.09,0.8
2023-07-19,28.68,75.1,0.0
2023-07-20,27.44,78.33,0.0
2023-07-21,26.89,76.53,0.0
2023-07-22,27.27,71.82,1.0
2023-07-23,27.6,69.41,0.0
2023-07-24,27.34,79.17,0.4
2023-07-25,27.82,73.14,0.0
2023-07-26,27.34,78.08,0.0
2023-07-27,25.55,75.34,0.0
2023-07-28,24.35,76.82,0.0
2023-07-29,23.42,80.53,0.0
2023-07-30,25.24,78.63,0.2
2023-07-31,25.04,82.58,0.0
2023-08-01,25.96,80.18,0.0
2023-08-02,24.75,82.7,1.8
2023-08-03,24.59,81.65,2.2
2023-08-04,24.76,80.38,1.6
2023-08-05,23.15,86.06,1.0
2023-08-06,22.16,85.01,4.0
2023-08-07,22.17,81.74,0.0
2023-08-08,23.49,77.82,1.4
2023-08-09,24.13,75.38,0.0
2023-08-10,23.31,81.65,0.0
