date,temperature,humidity,rainfall
2018-02-05,7.98,85.56,0.0
2018-02-06,8.98,85.08,0.0
2018-02-07,12.36,83.01,9.0
2018-02-08,11.24,90.26,1.4
2018-02-09,9.83,95.16,0.2
2018-02-10,9.36,95.92,18.6
2018-02-11,8.25,98.67,13.6
2018-02-12,7.79,91.01,0.0
2018-02-13,8.03,98.67,12.8
2018-02-14,9.56,83.72,10.2
2018-02-15,8.74,79.81,3.0
2018-02-16,10.67,70.81,0.0
2018-02-17,9.12,82.43,0.0
2018-02-18,9.12,90.19,0.0
2018-02-19,11.22,86.24,0.0
2018-02-20,9.98,93.3,6.6
2018-02-21,9.99,97.79,10.2
2018-02-22,11.76,90.2,5.0
2018-02-23,12.72,74.46,0.0
2018-02-24,9.55,95.94,31.8
2018-02-25,9.11,99.3,19.2
2018-02-26,7.78,95.14,50.8
2018-02-27,8.46,90.75,23.8
2018-02-28,6.82,71.88,0.0
2018-03-01,6.7,85.97,0.0
2018-03-02,10.7,95.65,3.6
2018-03-03,12.77,92.49,2.4
2018-03-04,13.95,90.1,1.6
2018-03-05,14.52,78.91,18.0
2018-03-06,14.65,93.94,12.2
2018-03-07,14.23,88.9,0.0
2018-03-08,12.44,82.53,15.4
2018-03-09,10.92,83.0,0.0
2018-03-10,11.15,83.05,0.0
2018-03-11,11.6,87.85,0.0
2018-03-12,14.88,86.68,3.8
2018-03-13,13.81,88.44,0.6
2018-03-14,12.38,85.44,0.8
2018-03-15,10.88,87.05,0.0
2018-03-16,12.91,90.96,0.6
2018-03-17,16.89,69.53,0.0
2018-03-18,15.88,83.41,8.2
2018-03-19,12.12,97.83,13.8
2018-03-20,11.73,87.44,4.8
2018-03-21,13.03,94.67,4.2
2018-03-22,16.58,72.63,0.0
2018-03-23,10.25,92.76,18.2
2018-03-24,10.06,85.19,0.4
2018-03-25,9.2,98.4,8.4
2018-03-26,11.42,98.92,14.4
2018-03-27,12.09,92.25,8.2
2018-03-28,11.9,80.81,0.0
2018-03-29,11.09,77.94,0.0
2018-03-30,13.44,81.91,0.0
2018-03-31,16.51,72.47,0.0
2018-04-01,15.04,72.58,6.6
2018-04-02,12.39,84.96,0.0
2018-04-03,13.52,80.41,0.0
2018-04-04,13.45,73.32,0.0
2018-04-05,13.55,76.47,0.0
2018-04-06,14.35,87.88,0.8
2018-04-07,16.03,78.74,0.0
2018-04-08,16.14,76.95,0.0
2018-04-09,16.48,69.53,0.0
2018-04-10,15.45,82.26,0.0
2018-04-11,15.02,85.12,0.0
2018-04-12,17.95,72.01,0.0
2018-04-13,17.43,83.99,0.0
2018-04-14,20.28,74.01,0.0
2018-04-15,24.07,46.07,0.0
2018-04-16,18.61,82.03,0.0
2018-04-17,16.63,89.56,0.0
2018-04-18,17.72,89.71,0.0
2018-04-19,19.31,78.29,0.0
2018-04-20,19.23,79.76,0.0
2018-04-21,18.69,65.17,0.0
2018-04-22,16.53,85.79,0.0
2018-04-23,17.37,90.1,0.0
2018-04-24,18.37,85.78,0.0
2018-04-25,18.64,86.34,0.0
2018-04-26,18.72,87.53,0.0
2018-04-27,21.03,79.27,0.0
2018-04-28,23.92,55.98,0.0
2018-04-29,24.58,51.56,0.0
2018-04-30,20.69,76.92,0.0
2018-05-01,21.63,71.81,0.0
2018-05-02,23.38,63.33,0.0
2018-05-03,20.98,78.27,0.0
2018-05-04,19.02,86.58,0.0
2018-05-05,18.1,95.88,10.4
2018-05-06,18.69,95.79,1.4
2018-05-07,19.28,91.88,8.2
2018-05-08,19.44,92.01,0.0
2018-05-09,19.02,87.84,0.0
2018-05-10,17.71,91.26,7.0
2018-05-11,17.91,92.85,8.6
2018-05-12,20.27,77.71,0.2
2018-05-13,20.06,86.82,0.0
2018-05-14,19.54,89.22,0.0
2018-05-15,19.38,91.2,66.0
2018-05-16,20.13,88.03,67.4
2018-05-17,20.91,84.25,27.2
2018-05-18,21.66,84.22,10.8
2018-05-19,21.44,83.44,0.0
2018-05-20,22.61,80.85,27.8
2018-05-21,23.63,71.76,44.2
2018-05-22,23.35,72.41,0.0
2018-05-23,22.77,81.8,1.0
2018-05-24,20.67,89.83,27.4
2018-05-25,22.66,81.76,0.0
2018-05-26,24.06,73.9,0.0
2018-05-27,24.42,68.67,0.0
2018-05-28,23.61,78.15,0.2
2018-05-29,23.74,79.49,0.0
2018-05-30,23.14,76.55,0.0
2018-05-31,22.0,88.11,0.2
2018-06-01,23.9,81.94,0.0
2018-06-02,24.51,69.33,0.0
2018-06-03,24.48,76.62,0.0
2018-06-04,24.38,79.07,0.0
2018-06-05,24.2,81.35,0.0
2018-06-06,23.64,79.19,0.0
2018-06-07,24.64,76.96,0.0
2018-06-08,28.14,62.15,0.0
2018-06-09,23.91,84.79,0.0
2018-06-10,21.74,88.35,7.8
2018-06-11,24.63,81.06,0.2
2018-06-12,25.47,82.18,0.0
2018-06-13,25.21,83.1,0.0
2018-06-14,23.63,82.58,0.0
2018-06-15,20.06,95.73,25.0
2018-06-16,21.22,89.92,15.2
2018-06-17,22.4,90.86,0.0
2018-06-18,22.43,88.12,1.6
2018-06-19,22.78,83.9,0.0
2018-06-20,25.62,63.47,0.0
2018-06-21,23.55,73.42,0.0
2018-06-22,23.43,85.42,0.0
2018-06-23,23.59,83.72,0.0
2018-06-24,23.31,80.57,0.0
2018-06-25,22.13,79.58,0.0
2018-06-26,21.62,78.11,2.0
2018-06-27,21.83,80.47,0.0
2018-06-28,20.65,84.76,1.0
2018-06-29,20.86,83.88,0.0
2018-06-30,21.93,86.17,0.0
2018-07-01,24.26,83.53,0.0
2018-07-02,24.62,82.6,0.0
2018-07-03,24.75,78.99,0.0
2018-07-04,24.72,85.65,0.0
2018-07-05,25.65,87.57,0.0
2018-07-06,26.08,78.46,0.0
2018-07-07,25.63,83.48,0.0
2018-07-08,23.48,89.99,14.0
2018-07-09,23.38,85.56,0.0
2018-07-10,23.37,83.56,0.0
2018-07-11,23.51,84.03,0.0
2018-07-12,24.67,85.53,0.0
2018-07-13,26.26,80.64,0.0
2018-07-14,26.04,79.78,0.0
2018-07-15,27.0,73.12,0.0
2018-07-16,25.87,80.15,0.0
2018-07-17,25.89,84.37,0.0
2018-07-18,26.0,81.24,0.0
2018-07-19,26.75,72.4,0.0
2018-07-20,25.21,83.44,0.0
2018-07-21,25.59,83.65,0.0
2018-07-22,26.03,76.31,0.0
2018-07-23,25.76,83.88,0.0
2018-07-24,24.54,81.53,0.0
2018-07-25,23.98,85.37,0.2
2018-07-26,23.16,89.39,6.6
2018-07-27,24.46,86.83,0.0
2018-07-28,24.81,87.5,0.0
2018-07-29,23.36,89.33,2.8
