date,temperature,humidity,rainfall
2021-02-05,10.64,91.78,0.0
2021-02-06,11.61,85.32,0.0
2021-02-07,12.62,79.06,0.0
2021-02-08,15.11,74.51,0.0
2021-02-09,12.48,95.89,0.0
2021-02-10,12.31,93.74,0.0
2021-02-11,11.68,89.07,0.0
2021-02-12,10.12,87.63,0.0
2021-02-13,9.44,97.1,0.0
2021-02-14,4.75,89.06,0.0
2021-02-15,3.52,46.22,0.0
2021-02-16,3.89,45.34,0.0
2021-02-17,4.29,67.56,0.0
2021-02-18,8.89,79.53,0.0
2021-02-19,8.8,78.0,0.0
2021-02-20,8.97,84.36,0.0
2021-02-21,9.91,76.8,0.0
2021-02-22,9.6,81.45,0.0
2021-02-23,10.64,83.84,0.0
2021-02-24,11.51,82.73,0.0
2021-02-25,13.63,64.52,0.0
2021-02-26,12.84,71.57,0.0
2021-02-27,11.37,85.89,0.0
2021-02-28,12.75,72.83,0.0
2021-03-01,13.19,76.67,0.0
2021-03-02,12.0,59.1,0.0
2021-03-03,9.96,70.74,0.0
2021-03-04,10.61,78.44,0.0
2021-03-05,10.55,83.08,0.0
2021-03-06,10.93,90.9,0.0
2021-03-07,11.11,80.17,0.0
2021-03-08,11.58,82.23,0.0
2021-03-09,13.1,75.49,0.0
2021-03-10,12.62,92.25,0.0
2021-03-11,10.46,72.24,0.0
2021-03-12,9.31,78.08,0.0
2021-03-13,11.0,84.76,0.0
2021-03-14,11.65,86.72,0.0
2021-03-15,9.73,91.19,0.0
2021-03-16,8.38,78.54,0.0
2021-03-17,7.06,73.06,0.0
2021-03-18,7.04,77.28,0.0
2021-03-19,10.83,72.61,0.0
2021-03-20,9.59,95.79,0.0
2021-03-21,13.5,87.35,0.0
2021-03-22,10.47,97.78,0.0
2021-03-23,9.2,69.51,0.0
2021-03-24,10.63,43.46,0.0
2021-03-25,9.03,49.15,0.0
2021-03-26,8.11,69.08,0.0
2021-03-27,9.92,76.03,0.0
2021-03-28,12.17,84.24,0.0
2021-03-29,12.87,88.79,0.0
2021-03-30,13.28,70.07,0.0
2021-03-31,12.82,65.27,0.0
2021-04-01,12.1,82.86,0.0
2021-04-02,13.36,84.38,0.0
2021-04-03,14.15,83.24,0.0
2021-04-04,16.57,76.26,0.0
2021-04-05,14.96,78.77,0.0
2021-04-06,14.36,75.74,0.0
2021-04-07,14.08,83.56,0.0
2021-04-08,11.53,62.28,0.0
2021-04-09,10.32,46.59,0.0
2021-04-10,9.81,67.62,0.0
2021-04-11,11.12,77.33,0.0
2021-04-12,13.53,75.19,0.0
2021-04-13,13.49,76.4,0.0
2021-04-14,13.52,72.44,0.0
2021-04-15,12.0,65.93,0.0
2021-04-16,12.71,70.35,0.0
2021-04-17,16.29,69.09,0.0
2021-04-18,16.21,79.57,0.0
2021-04-19,11.22,94.51,0.0
2021-04-20,10.71,87.62,0.0
2021-04-21,12.08,83.12,0.0
2021-04-22,12.76,82.76,0.0
2021-04-23,15.77,80.38,0.0
2021-04-24,16.52,69.19,0.0
2021-04-25,18.03,61.92,0.0
2021-04-26,16.53,76.44,0.0
2021-04-27,17.02,71.17,0.0
2021-04-28,20.53,65.38,0.0
2021-04-29,19.5,75.61,0.0
2021-04-30,21.59,67.7,0.0
2021-05-01,22.87,67.72,0.0
2021-05-02,22.34,74.52,0.0
2021-05-03,19.94,84.77,0.0
2021-05-04,18.91,80.01,0.0
2021-05-05,17.85,80.54,0.0
2021-05-06,18.15,87.08,0.0
2021-05-07,19.38,79.05,0.0
2021-05-08,19.88,78.42,0.0
2021-05-09,21.28,69.88,0.0
2021-05-10,20.24,70.73,0.0
2021-05-11,19.69,79.13,0.0
2021-05-12,19.08,84.38,0.0
2021-05-13,18.37,78.99,0.0
2021-05-14,17.52,78.31,0.0
2021-05-15,15.12,92.03,0.0
2021-05-16,17.33,82.4,0.0
2021-05-17,19.06,77.37,0.0
2021-05-18,20.01,83.96,0.0
2021-05-19,19.39,76.76,0.0
2021-05-20,17.69,70.18,0.0
2021-05-21,18.0,66.26,0.0
2021-05-22,18.4,71.69,0.0
2021-05-23,18.89,72.65,0.0
2021-05-24,21.68,74.58,0.0
2021-05-25,23.08,69.57,0.0
2021-05-26,21.49,74.38,0.0
2021-05-27,20.87,79.41,0.0
2021-05-28,21.07,76.97,0.0
2021-05-29,20.57,75.67,0.0
2021-05-30,20.66,82.44,0.0
2021-05-31,20.35,71.82,0.0
2021-06-01,19.17,63.75,0.0
2021-06-02,19.02,63.15,0.0
2021-06-03,19.9,70.69,0.0
2021-06-04,21.94,70.45,0.0
2021-06-05,21.98,75.63,0.0
2021-06-06,22.38,75.09,0.0
2021-06-07,22.52,73.94,0.0
2021-06-08,23.21,67.9,0.0
2021-06-09,21.15,80.53,0.0
2021-06-10,21.64,70.78,0.0
2021-06-11,22.17,70.43,0.0
2021-06-12,21.29,75.49,0.0
2021-06-13,21.85,83.01,0.0
2021-06-14,23.68,63.79,0.0
2021-06-15,22.4,51.94,0.0
2021-06-16,21.85,70.76,0.0
2021-06-17,23.43,74.8,0.0
2021-06-18,23.28,77.28,0.0
2021-06-19,24.32,77.3,0.0
2021-06-20,24.89,80.35,0.0
2021-06-21,25.66,80.45,0.0
2021-06-22,27.35,70.13,0.0
2021-06-23,28.03,63.1,0.0
2021-06-24,28.35,70.4,0.0
2021-06-25,28.92,72.59,0.0
